title,artist,gender,year,bucket,track_title,line,lyric
Terminator X To The Edge of Panic,Public Enemy,male,1998,Old School,Terminator X to the Edge of Panic,1,"""At the count of three, I want y'all to tell me the name of my DJ. One, two, three!"""
Terminator X To The Edge of Panic,Public Enemy,male,1998,Old School,Terminator X to the Edge of Panic,2,"""Terminator X!"""
Terminator X To The Edge of Panic,Public Enemy,male,1998,Old School,Terminator X to the Edge of Panic,3,"""Yo, I gotta hear that one more time, man. One, two, three!"""
Terminator X To The Edge of Panic,Public Enemy,male,1998,Old School,Terminator X to the Edge of Panic,4,"""Terminator X!"""
Terminator X To The Edge of Panic,Public Enemy,male,1998,Old School,Terminator X to the Edge of Panic,5,"""Yeah, boy! For all those that didn't understand, Terminator X!""""Terminator X"
Terminator X To The Edge of Panic,Public Enemy,male,1998,Old School,Terminator X to the Edge of Panic,6,"Ah, savior of the universe"""
Terminator X To The Edge of Panic,Public Enemy,male,1998,Old School,Terminator X to the Edge of Panic,7,"""Terminator X, it!"""
Terminator X To The Edge of Panic,Public Enemy,male,1998,Old School,Terminator X to the Edge of Panic,8,"Go, go, go, go"
Terminator X To The Edge of Panic,Public Enemy,male,1998,Old School,Terminator X to the Edge of Panic,9,"Go, go, go, go"
Terminator X To The Edge of Panic,Public Enemy,male,1998,Old School,Terminator X to the Edge of Panic,10,"Go, go, go, go"
Terminator X To The Edge of Panic,Public Enemy,male,1998,Old School,Terminator X to the Edge of Panic,11,"Go, go, go, go"
Terminator X To The Edge of Panic,Public Enemy,male,1998,Old School,Terminator X to the Edge of Panic,12,"Go, go, go, go"
Terminator X To The Edge of Panic,Public Enemy,male,1998,Old School,Terminator X to the Edge of Panic,13,"Go, go, go, go""The federal government is the number one killer and destroyer of Black leaders!"""
Terminator X To The Edge of Panic,Public Enemy,male,1998,Old School,Terminator X to the Edge of Panic,14,Take a look at his style (Yeah!)
Terminator X To The Edge of Panic,Public Enemy,male,1998,Old School,Terminator X to the Edge of Panic,15,Take a check of the sound off the record people keepin' him down
Terminator X To The Edge of Panic,Public Enemy,male,1998,Old School,Terminator X to the Edge of Panic,16,"Trick a chick in Miami, Terminator X packs the jams"
Terminator X To The Edge of Panic,Public Enemy,male,1998,Old School,Terminator X to the Edge of Panic,17,Who gives a fuck about a goddamn Grammy?
Terminator X To The Edge of Panic,Public Enemy,male,1998,Old School,Terminator X to the Edge of Panic,18,Anyway and I'm sayin' the D's defending the mike
