school_name,affiliation
Anglo-Chinese School (Junior),"Anglo-Chinese School (Barker Road), Anglo-Chinese School (Independent)"
Anglo-Chinese School (Primary),"Anglo-Chinese School (Barker Road), Anglo-Chinese School (Independent)"
Catholic High School (Primary),Catholic High School
De La Salle School (co-ed),"St. Joseph's Institution, St. Patrick's School"
Maris Stella High School,Maris Stella High School
Montfort Junior School,Montfort Secondary School
St. Andrew's Junior School,St. Andrew's Secondary School
St. Anthony's Primary School (co-ed),"St. Joseph's Institution, St. Patrick's School"
St. Gabriel's Primary School,St. Gabriel's Secondary School
St. Joseph's Institution Junior,"St. Joseph's Institution, St. Patrick's School"
St. Stephen's School,"St. Joseph's Institution, St. Patrick's School"
Canossa Convent Primary School,St. Anthony's Canossian Secondary School
CHIJ (Katong) Primary,CHIJ Katong Convent
CHIJ Primary (Toa Payoh),CHIJ Secondary (Toa Payoh)
CHIJ Our Lady of the Nativity,CHIJ St. Joseph's Convent
CHIJ Our Lady of Good Counsel,CHIJ St. Joseph's Convent
CHIJ St. Nicholas Girls' School (Primary),CHIJ St. Nicholas Girls' School
CHIJ (Kellock),CHIJ St. Theresa's Convent
CHIJ Our Lady Queen of Peace,CHIJ St. Theresa's Convent
Methodist Girls' School (Primary),Methodist Girls' School (Secondary)
Nanyang Primary School (co-ed),Nanyang Girls' High School
Paya Lebar Methodist Girls' School (Primary),Paya Lebar Methodist Girls' School (Secondary)
Singapore Chinese Girls' Primary School,Singapore Chinese Girls' School
St. Anthony's Canossian Primary School,St. Anthony's Canossian Secondary School
St. Margaret's Primary School,St. Margaret's Secondary School
Fairfield Methodist School (Primary),Fairfield Methodist School (Secondary)
Geylang Methodist School (Primary),Geylang Methodist School (Secondary)
Holy Innocents' Primary School,Holy Innocent's High School
Kuo Chuan Presbyterian Primary School,Kuo Chuan Presbyterian Secondary School
Maha Bodhi School,Manjusri Secondary School
Mee Toh School,Manjusri Secondary School
Ngee Ann Primary School,Ngee Ann Secondary School
St. Hilda's Primary School,St. Hilda's Secondary School
