school_name,sub_avg,data
Rosyth School,2.48,3.5 + 29/20
CHIJ St. Nicholas Girls' School (Primary Section),2.48,3.5 + 29/20
Pei Hwa Presbyterian Primary School,2.3,3.5 + 22/20
Ai Tong School,2.26,29/9 + 26/20
Nan Hua Primary School,2.2,3.5 + 18/20
Temasek Primary School,2.03,45/13 + 12/20
Rulang Primary School,1.93,62/22 + 21/20
Catholic High School (Primary Section),1.74,11/5 + 27/21
Tao Nan School,1.7,41/41 + 48/20
St. Hilda's Primary School,1.65,36/19 + 28/20
Anglo-Chinese School (Primary),1.38,28/37 + 50/25
Pei Chun Public School,1.31,38/33 + 31/21
Henry Park Primary School,1.3,37/24 + 21/20
Nanyang Primary School,1.29,44/28 + 20/20
Radin Mas Primary School,1.22,31/18 + 15/21
Gongshang Primary School,1.16,33/25 + 20/20
Anglo-Chinese School (Junior),1.08,20/30 + 39/26
Methodist Girls' School (Primary),0.98,14/27 + 39/27
CHIJ Primary (Toa Payoh),0.96,23/52 + 52/35
Fairfield Methodist School (Primary),0.96,27/34 + 27/24
Red Swastika School,0.93,25/19 + 11/20
Kuo Chuan Presbyterian Primary School,0.9,38/71 + 47/37
Holy Innocents' Primary School,0.9,57/99 + 50/41
Yu Neng Primary School,0.89,38/34 + 14/21
Singapore Chinese Girls' School (Primary),0.88,12/19 + 27/24
Frontier Primary School,0.88,71/71 + 15/20
South View Primary School,0.86,52/62 + 22/25
Chongzheng Primary School,0.86,49/62 + 25/27
Chongfu School,0.79,56/96 + 40/40
River Valley Primary School,0.78,39/59 + 27/30
Sengkang Green Primary School,0.78,111/123 + 17/26
Westwood Primary School,0.77,77/71 + 9/20
Pasir Ris Primary School,0.76,31/47 + 24/28
Anderson Primary School,0.7,61/80 + 19/30
Kong Hwa School,0.69,31/73 + 40/42
Shuqun Primary School,0.68,42/46 + 10/22
Nan Chiau Primary School,0.66,24/128 + 82/72
St. Joseph's Institution Junior,0.65,18/93 + 64/58
West Spring Primary School,0.65,62/85 + 18/32
Princess Elizabeth Primary School,0.63,50/40 + 0/20
Canberra Primary School,0.62,16/90 + 60/57
Maris Stella High School (Primary Section),0.61,33/91 + 43/50
Northland Primary School,0.6,46/81 + 24/38
Admiralty Primary School,0.56,23/80 + 41/49
Maha Bodhi School,0.54,40/110 + 39/55
St. Anthony's Primary School,0.5,23/56 + 22/37
Punggol View Primary School,0.48,73/76 + 0/22
Xinmin Primary School,0.46,44/80 + 14/38
Punggol Green Primary School,0.45,78/98 + 3/30
Bukit Panjang Primary School,0.45,39/89 + 21/46
Paya Lebar Methodist Girls' School (Primary),0.44,23/118 + 46/68
Riverside Primary School,0.42,53/66 + 1/27
Qifa Primary School,0.42,42/94 + 18/46
Mee Toh School,0.41,22/122 + 45/70
Jurong Primary School,0.41,39/48 + 0/25
Keming Primary School,0.39,38/85 + 15/44
White Sands Primary School,0.38,16/53 + 18/39
Horizon Primary School,0.37,16/67 + 23/46
Raffles Girls' Primary School,0.37,29/93 + 22/52
Hong Wen School,0.35,24/84 + 21/50
Oasis Primary School,0.35,76/116 + 2/40
St. Andrew's Junior School,0.35,19/110 + 35/66
Innova Primary School,0.34,11/57 + 21/43
Poi Ching School,0.32,13/79 + 25/53
CHIJ Our Lady of The Nativity,0.31,32/138 + 29/73
